At clock#           1 :, LA = xxx, LB = xxx, RA = x, PA = 0, PB = 0
At clock#         191 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         192 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         192 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         192 :, LA = 101, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         192 :, LA = 111, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         192 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         193 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         194 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         195 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         196 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         197 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         198 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 1
At clock#         199 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         200 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         200 :, LA = 011, LB = 111, RA = 0, PA = 0, PB = 0
At clock#         200 :, LA = 010, LB = 111, RA = 0, PA = 0, PB = 0
At clock#         200 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         201 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         202 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         203 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         203 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         203 :, LA = 010, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         203 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         203 :, LA = 000, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         203 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         204 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         205 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         206 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         206 :, LA = 010, LB = 100, RA = 1, PA = 0, PB = 0
At clock#         206 :, LA = 011, LB = 101, RA = 1, PA = 0, PB = 0
At clock#         206 :, LA = 111, LB = 101, RA = 1, PA = 0, PB = 0
At clock#         206 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#         207 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#         208 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#         209 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#         210 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#         211 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#         212 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#         212 :, LA = 110, LB = 111, RA = 1, PA = 0, PB = 0
At clock#         212 :, LA = 110, LB = 111, RA = 0, PA = 0, PB = 0
At clock#         212 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         213 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         214 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         215 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         216 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         217 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         218 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
Simulation complete via $finish(1) at time 1090 NS + 0
./tb/tb_traffic_syn.v:30 		$finish;
ncsim> exit
ncsim: Memory Usage - 38.6M program + 155.6M data = 194.2M total (197.0M Peak)
ncsim: CPU Usage - 0.1s system + 0.1s user = 0.1s total (12.4s, 1.1% cpu)
